Month,% Teens Unemployed 2019,2020
Jan,12.9,14.3
Feb,13.3,31.9
Mar,12.7,29.9
Apr,12.9,23.2
May,12.6,19.3
Jun,12.7,16.1
Jul,12.7,NaN
Aug,12.5,NaN
Sept,12.5,NaN
Oct,12.3,NaN
Nov,12.0,NaN
Dec,11.0,NaN
