county,20200701,20200601,20190701,Monthly Change,Annual Change
  Jeff Davis,5.1,5.5,3.1,-0.4,2
  Jefferson,12.7,13.3,6.6,-0.6,6.1
  Jim Hogg,11.4,11,5,0.4,6.4
  Jim Wells,14,13.9,5.1,0.1,8.9
  Johnson,7,7.5,3.5,-0.5,3.5
  Jones,7.5,7.7,4.7,-0.2,2.8
  Karnes,7.2,6.9,2.8,0.3,4.4
  Kaufman,7.1,7.7,3.6,-0.6,3.5
  Kendall,5.2,5.7,3,-0.5,2.2
  Kenedy,6,6.1,5.3,-0.1,0.7
  Kent,3.8,4.3,2,-0.5,1.8
  Kerr,5.8,6.4,3.2,-0.6,2.6
  Kimble,5.6,5.5,3.4,0.1,2.2
  King,1.4,1.8,2.5,-0.4,-1.1
  Kinney,5.6,6.2,3.7,-0.6,1.9
  Kleberg,9.5,9.4,5,0.1,4.5
  Knox,5.8,6.8,3.5,-1,2.3
  Lamar,7.2,7.6,3.6,-0.4,3.6
  Lamb,5.1,5.7,4.1,-0.6,1
  Lampasas,5.4,5.8,3.6,-0.4,1.8
  La Salle,7.1,7.2,2.4,-0.1,4.7
  Lavaca,5.9,6,3.2,-0.1,2.7
  Lee,5,5,2.9,0,2.1
  Leon,7.7,8.2,4.8,-0.5,2.9
  Liberty,11.4,11.4,5.5,0,5.9
  Limestone,7.5,7.8,4.1,-0.3,3.4
  Lipscomb,4.4,4.5,3.2,-0.1,1.2
  Live Oak,7.8,7.6,3.3,0.2,4.5
  Llano,5.8,5.9,3.7,-0.1,2.1
  Loving,0.6,0.7,0.7,-0.1,-0.1
  Lubbock,6.4,6.7,3.4,-0.3,3
  Lynn,5.8,6.3,3.2,-0.5,2.6
  McCulloch,8.3,7.9,6.1,0.4,2.2
  McLennan,6.5,6.9,3.8,-0.4,2.7
  McMullen,2.9,2.5,1.6,0.4,1.3
  Madison,7.7,8.2,5.2,-0.5,2.5
  Marion,9,9.5,4.3,-0.5,4.7
  Martin,6.8,6.6,2.7,0.2,4.1
  Mason,5.6,5.8,3.7,-0.2,1.9
  Matagorda,11.3,11.2,6.3,0.1,5
  Maverick,15.6,15.9,7.8,-0.3,7.8
  Medina,6.5,7.1,3.4,-0.6,3.1
  Menard,6.2,6.4,3.8,-0.2,2.4
  Midland,9.4,9.6,2.2,-0.2,7.2
  Milam,7.7,8,5.2,-0.3,2.5
  Mills,4.2,4.4,3.4,-0.2,0.8
  Mitchell,9.5,9.2,3.9,0.3,5.6
  Montague,7,7.4,3,-0.4,4
  Montgomery,8.1,8.5,3.7,-0.4,4.4
  Moore,4.1,4.4,2.6,-0.3,1.5
  Morris,12.4,12.1,5.7,0.3,6.7
  Motley,4.3,4.8,3.7,-0.5,0.6
  Nacogdoches,7.2,7.6,4.4,-0.4,2.8
  Navarro,6.3,6.9,3.4,-0.6,2.9
  Newton,11.7,12,7.2,-0.3,4.5
  Nolan,5.7,6,3.1,-0.3,2.6
  Nueces,9.9,9.7,4.4,0.2,5.5
  Ochiltree,6.4,6.6,2.9,-0.2,3.5
  Oldham,3.4,3.4,3.3,0,0.1
  Orange,11.2,11.8,5.8,-0.6,5.4
  Palo Pinto,7.6,7.9,3.5,-0.3,4.1
  Panola,8.5,8.8,4.5,-0.3,4
  Parker,6.3,6.7,3.2,-0.4,3.1
  Parmer,2.7,2.8,2.5,-0.1,0.2
  Pecos,9.8,9.8,3.5,0,6.3
  Polk,9.3,9.5,5.2,-0.2,4.1
  Potter,5.8,6.6,3.1,-0.8,2.7
  Presidio,15.8,16.6,6.8,-0.8,9
  Rains,4.8,5.1,3.3,-0.3,1.5
  Randall,4.7,5.4,2.7,-0.7,2
  Reagan,10.3,10.7,2.6,-0.4,7.7
  Real,8.4,7.8,3.9,0.6,4.5
  Red River,6.8,7.3,4.9,-0.5,1.9
  Reeves,5.9,6.1,1.9,-0.2,4
  Refugio,9.1,9.2,4,-0.1,5.1
  Roberts,4.8,4.7,3.5,0.1,1.3
  Robertson,6.5,6.8,3.9,-0.3,2.6
  Rockwall,6.3,7.1,3.3,-0.8,3
  Runnels,5.3,5.8,2.9,-0.5,2.4
  Rusk,7.6,7.9,3.9,-0.3,3.7
  Sabine,12,12,7.3,0,4.7
  San Augustine,8.4,8.8,5,-0.4,3.4
  San Jacinto,8.8,8.7,4.9,0.1,3.9
  San Patricio,10.8,10.8,5.8,0,5
  San Saba,4.7,4.9,3.1,-0.2,1.6
  Schleicher,7.5,8.4,3.6,-0.9,3.9
  Scurry,8.9,9.3,3.9,-0.4,5
  Shackelford,5.9,6.1,2.3,-0.2,3.6
  Shelby,7.7,8,4.4,-0.3,3.3
  Sherman,3,3.1,2.7,-0.1,0.3
  Smith,7.2,7.8,3.7,-0.6,3.5
  Somervell,6.8,7.4,3.7,-0.6,3.1
  Starr,17.6,18,10.9,-0.4,6.7
  Stephens,7.2,6.9,3.3,0.3,3.9
  Sterling,7.4,7.8,3.1,-0.4,4.3
  Stonewall,5.8,6.2,3.1,-0.4,2.7
  Sutton,9.6,10.5,4.1,-0.9,5.5
  Swisher,5.3,5.5,3.9,-0.2,1.4
  Tarrant,7.8,8.6,3.6,-0.8,4.2
  Taylor,5.8,6.2,3.2,-0.4,2.6
  Terrell,6,6,3.3,0,2.7
  Terry,8.1,8.8,4,-0.7,4.1
  Throckmorton,6,5.8,4.4,0.2,1.6
  Titus,7.5,8,4.7,-0.5,2.8
  Tom Green,7.3,7.7,3.4,-0.4,3.9
  Travis,6.9,7.5,2.8,-0.6,4.1
  Trinity,8.5,8.7,4.9,-0.2,3.6
  Tyler,10.7,11.1,6.3,-0.4,4.4
  Upshur,8.2,8.7,4,-0.5,4.2
  Upton,7,7.5,3.1,-0.5,3.9
  Uvalde,7,7.2,4.2,-0.2,2.8
  Val Verde,8.4,9.6,3.5,-1.2,4.9
  Van Zandt,6.5,7.1,3.6,-0.6,2.9
  Victoria,9.5,8.8,3.7,0.7,5.8
  Walker,7.6,7.8,4.5,-0.2,3.1
  Waller,8.5,8.6,4.2,-0.1,4.3
  Ward,8.7,8.8,2.5,-0.1,6.2
  Washington,6,6.3,3.9,-0.3,2.1
  Webb,9.1,9.8,4,-0.7,5.1
  Wharton,7.4,7.4,3.8,0,3.6
  Wheeler,5.9,6.1,3.2,-0.2,2.7
  Wichita,7.3,7.3,3.6,0,3.7
  Wilbarger,5.7,6.1,4.1,-0.4,1.6
  Willacy,12.2,12.6,9.6,-0.4,2.6
  Williamson,6.2,6.8,3,-0.6,3.2
  Wilson,6.2,6.5,3.1,-0.3,3.1
  Winkler,11.4,11.4,3,0,8.4
  Wise,6.9,7.6,3.8,-0.7,3.1
  Wood,6.9,7.4,4.1,-0.5,2.8
  Yoakum,13.2,14.3,3.1,-1.1,10.1
  Young,5.6,5.9,3.3,-0.3,2.3
  Zapata,13,13.1,6.1,-0.1,6.9
  Zavala,16.1,16.5,9.7,-0.4,6.4
